INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C5_R2-C7_R3-C7.txt

Stacking Case (types read from header)
-------------------------------------
R1: C5 — m odd > 3, n = 2
R2: C7 — m odd > 3, n = 2
R3: C7 — m even > 2, n odd > 3

Example 1
  R1: m=5, n=2
  R2: m=7, n=2
  R3: m=8, n=5
  #Solutions: 124
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
    103. R3[7->0], R2[0->4], R1[4->0]
    104. R3[7->0], R2[0->4], R1[4->2]
    105. R3[7->0], R2[0->4], R1[4->4]
    106. R3[7->2], R2[2->0], R1[0->0]
    107. R3[7->2], R2[2->0], R1[0->2]
    108. R3[7->2], R2[2->0], R1[0->4]
    109. R3[7->2], R2[2->4], R1[4->0]
    110. R3[7->2], R2[2->4], R1[4->2]
    111. R3[7->2], R2[2->4], R1[4->4]
    112. R3[7->4], R2[4->0], R1[0->0]
    113. R3[7->4], R2[4->0], R1[0->2]
    114. R3[7->4], R2[4->0], R1[0->4]
    115. R3[7->4], R2[4->2], R1[2->0]
    116. R3[7->4], R2[4->2], R1[2->4]
    117. R3[7->6], R2[6->0], R1[0->0]
    118. R3[7->6], R2[6->0], R1[0->2]
    119. R3[7->6], R2[6->0], R1[0->4]
    120. R3[7->6], R2[6->2], R1[2->0]
    121. R3[7->6], R2[6->2], R1[2->4]
    122. R3[7->6], R2[6->4], R1[4->0]
    123. R3[7->6], R2[6->4], R1[4->2]
    124. R3[7->6], R2[6->4], R1[4->4]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 8) -> t=(1, 0)
         R3: (0, 8) -> (1, 4)   (bridge down from R3_t to R2_s)
         R2: (1, 3) -> (3, 2)   (bridge down from R2_t to R1_s)
         R1: (3, 1) -> (1, 0)
      2. whole: s=(0, 8) -> t=(3, 0)
         R3: (0, 8) -> (3, 4)   (bridge down from R3_t to R2_s)
         R2: (3, 3) -> (1, 2)   (bridge down from R2_t to R1_s)
         R1: (1, 1) -> (3, 0)
      3. whole: s=(0, 8) -> t=(3, 0)
         R3: (0, 8) -> (5, 4)   (bridge down from R3_t to R2_s)
         R2: (5, 3) -> (1, 2)   (bridge down from R2_t to R1_s)
         R1: (1, 1) -> (3, 0)
      4. whole: s=(0, 8) -> t=(1, 0)
         R3: (0, 8) -> (5, 4)   (bridge down from R3_t to R2_s)
         R2: (5, 3) -> (3, 2)   (bridge down from R2_t to R1_s)
         R1: (3, 1) -> (1, 0)
      5. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (0, 0)
      6. whole: s=(1, 8) -> t=(2, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (2, 0)
      7. whole: s=(1, 8) -> t=(4, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (4, 0)
      8. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (2, 2)   (bridge down from R2_t to R1_s)
         R1: (2, 1) -> (0, 0)
      9. whole: s=(1, 8) -> t=(4, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (2, 2)   (bridge down from R2_t to R1_s)
         R1: (2, 1) -> (4, 0)
     10. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (4, 2)   (bridge down from R2_t to R1_s)
         R1: (4, 1) -> (0, 0)

------------------------------------------------------------

Example 2
  R1: m=5, n=2
  R2: m=7, n=2
  R3: m=10, n=5
  #Solutions: 155
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->1], R2[1->3], R1[3->1]
      2. R3[0->3], R2[3->1], R1[1->3]
      3. R3[0->5], R2[5->1], R1[1->3]
      4. R3[0->5], R2[5->3], R1[3->1]
      5. R3[1->0], R2[0->0], R1[0->0]
      6. R3[1->0], R2[0->0], R1[0->2]
      7. R3[1->0], R2[0->0], R1[0->4]
      8. R3[1->0], R2[0->2], R1[2->0]
      9. R3[1->0], R2[0->2], R1[2->4]
     10. R3[1->0], R2[0->4], R1[4->0]
     11. R3[1->0], R2[0->4], R1[4->2]
     12. R3[1->0], R2[0->4], R1[4->4]
     13. R3[1->2], R2[2->0], R1[0->0]
     14. R3[1->2], R2[2->0], R1[0->2]
     15. R3[1->2], R2[2->0], R1[0->4]
     16. R3[1->2], R2[2->4], R1[4->0]
     17. R3[1->2], R2[2->4], R1[4->2]
     18. R3[1->2], R2[2->4], R1[4->4]
     19. R3[1->4], R2[4->0], R1[0->0]
     20. R3[1->4], R2[4->0], R1[0->2]
     21. R3[1->4], R2[4->0], R1[0->4]
     22. R3[1->4], R2[4->2], R1[2->0]
     23. R3[1->4], R2[4->2], R1[2->4]
     24. R3[1->6], R2[6->0], R1[0->0]
     25. R3[1->6], R2[6->0], R1[0->2]
